coordinate,type,statistic
nat,numeric,0.018221594004828912
density,numeric,0.010198382134801582
formation_energy_peratom,numeric,0.028656597948509204
ehull,numeric,0.0036751278863068506
optb88vdw_bandgap,numeric,0.21334577312055172
magmom_oszicar,numeric,0.008976987827153365
magmom_outcar,numeric,0.00033234234859051546
epsx,numeric,0.009618891378664788
epsy,numeric,0.008044235843764876
epsz,numeric,0.018440520014750147
chem_n_elements,numeric,0.008596852079631855
chem_composition_entropy,numeric,0.011247851187206578
chem_mean_atomic_number,numeric,0.01651191297253049
chem_atomic_number_range,numeric,0.024307710575313647
chem_mean_electronegativity,numeric,0.025879251267233252
chem_electronegativity_range,numeric,0.028322139238178966
chem_mean_atomic_radius,numeric,0.019939590123545146
chem_atomic_radius_range,numeric,0.027271451449557213
chem_mean_group,numeric,0.017912181982640385
chem_group_range,numeric,0.021286610437532945
chem_mean_period,numeric,0.01574541461058522
chem_period_range,numeric,0.01921453920094758
crys,categorical,0.01447473919183638
dimensionality,categorical,0.012027994168830597
