masking_level,row,coordinate,loss_model,loss_ind
0.05,3839,nat,0.4,0.6
0.05,3893,nat,0.8,0.1
0.05,3919,nat,0.0,0.1
0.05,3976,nat,0.25,0.25
0.05,3995,nat,0.1,1.15
0.05,4020,nat,0.6,0.55
0.05,4058,nat,0.25,0.15
0.05,4073,nat,0.35,1.75
0.05,4103,nat,0.05,0.35
0.05,4106,nat,0.3,0.2
0.05,4122,nat,1.45,1.3
0.05,4142,nat,0.55,1.1
0.05,4158,nat,0.1,0.2
0.05,4173,nat,0.1,0.25
0.05,4200,nat,0.1,0.3
0.05,4211,nat,0.05,0.4
0.05,4232,nat,1.0,1.0
0.05,4262,nat,0.15,0.7
0.05,4329,nat,1.0,0.35
0.05,4386,nat,1.7,2.15
0.05,4392,nat,0.15,0.15
0.05,4397,nat,0.2,0.0
0.05,4429,nat,0.55,0.35
0.05,4459,nat,0.15,0.75
0.05,4526,nat,0.9,1.9
0.05,4534,nat,1.4,0.15
0.05,4560,nat,0.3,0.45
0.05,4562,nat,0.2,0.4
0.05,4586,nat,2.2,2.25
0.05,4644,nat,0.0,0.25
0.05,4656,nat,0.5,0.0
0.05,4702,nat,1.2,1.7
0.05,4759,nat,0.4,0.55
0.05,4776,nat,0.3,0.25
0.05,4785,nat,0.8,0.7
0.05,4786,nat,0.05,0.1
0.05,4834,nat,0.0,1.6
0.05,4871,nat,0.2,0.15
0.05,4872,nat,0.25,0.15
0.05,4935,nat,0.7,1.6
0.05,4937,nat,0.4,0.6
0.05,4944,nat,1.6,3.45
0.05,4964,nat,0.3,0.7
0.05,4983,nat,0.1,0.1
0.05,5102,nat,0.75,0.4
0.05,5123,nat,0.1,0.15
0.05,5132,nat,0.4,1.4
0.05,5152,nat,0.2,0.8
0.05,5174,nat,1.2,2.05
0.05,5180,nat,0.2,0.6
0.05,5206,nat,0.1,0.65
0.05,5233,nat,0.2,0.25
0.05,5259,nat,1.2,0.65
0.05,5293,nat,0.25,0.6
0.05,5302,nat,0.15,0.2
0.05,5321,nat,1.1,1.2
0.05,5328,nat,0.05,0.6
0.05,5351,nat,0.55,0.55
0.05,5356,nat,0.0,0.2
0.05,5413,nat,0.65,1.25
0.05,5434,nat,0.3,0.45
0.05,5447,nat,3.1,3.3
0.05,5466,nat,0.6,0.15
0.05,5489,nat,1.5,0.2
0.05,5490,nat,0.3,1.2
0.05,5511,nat,0.25,0.55
0.05,5525,nat,1.1,0.75
0.05,5534,nat,1.0,0.55
0.05,5538,nat,0.0,0.0
0.05,5546,nat,0.2,0.6
0.05,5560,nat,0.5,0.1
0.05,5591,nat,0.45,0.05
0.05,5594,nat,0.7,0.05
0.05,5611,nat,0.45,0.05
0.05,5613,nat,0.0,0.1
0.05,5713,nat,0.5,0.2
0.05,5714,nat,0.25,0.6
0.05,5724,nat,0.2,1.0
0.05,5734,nat,1.4,0.2
0.05,5740,nat,0.1,0.3
0.05,5750,nat,0.1,0.35
0.05,5763,nat,0.0,0.35
0.05,5766,nat,0.8,0.8
0.05,5769,nat,0.3,0.0
0.05,5789,nat,0.0,0.1
0.05,5831,nat,1.05,0.1
0.05,5836,nat,1.15,1.1
0.05,5852,nat,0.35,0.2
0.05,5857,nat,0.2,0.6
0.05,5940,nat,0.15,0.2
0.05,5960,nat,0.2,0.1
0.05,5975,nat,0.8,0.35
0.05,5994,nat,0.0,0.2
0.05,6033,nat,0.5,0.4
0.05,6064,nat,0.4,0.15
0.05,6079,nat,0.3,0.5
0.05,6098,nat,0.6,0.9
0.05,6139,nat,0.25,0.3
0.05,6154,nat,0.2,0.0
0.05,6159,nat,0.05,0.0
0.05,6163,nat,0.1,0.3
0.05,6221,nat,0.45,0.2
0.05,6224,nat,0.35,0.3
0.05,6279,nat,0.3,0.0
0.05,6292,nat,0.05,0.05
0.05,6293,nat,0.05,0.15
0.05,6383,nat,0.25,0.0
0.05,6390,nat,0.3,0.35
0.05,6437,nat,0.65,1.1
0.05,6445,nat,0.5,0.6
0.05,6453,nat,2.45,2.05
0.05,6488,nat,0.45,0.5
0.05,6501,nat,0.1,0.6
0.05,6511,nat,0.45,0.85
0.05,6521,nat,0.4,0.9
0.05,6542,nat,0.1,1.4
0.05,6571,nat,0.0,0.6
0.05,6574,nat,0.1,1.05
0.05,6582,nat,0.25,0.05
0.05,6600,nat,0.9,1.6
0.05,6604,nat,0.1,0.3
0.05,6636,nat,0.0,0.45
0.05,6714,nat,0.1,0.55
0.05,6715,nat,1.75,2.0
0.05,6722,nat,0.4,0.8
0.05,6728,nat,0.3,0.1
0.05,6761,nat,0.2,0.65
0.05,6764,nat,0.5,0.05
0.05,6779,nat,1.4,1.85
0.05,6809,nat,1.1,1.25
0.05,6810,nat,0.4,0.1
0.05,6847,nat,0.3,0.2
0.05,6850,nat,0.2,0.25
0.05,6912,nat,1.9,2.35
0.05,6928,nat,0.1,0.2
0.05,6944,nat,0.15,0.0
0.05,6948,nat,3.9,5.2
0.05,6962,nat,0.6,0.55
0.05,6968,nat,0.2,0.8
0.05,6978,nat,0.7,0.8
0.05,6982,nat,0.1,0.1
0.05,6986,nat,0.8,0.6
0.05,7006,nat,0.05,0.1
0.05,7033,nat,0.7,1.45
0.05,7065,nat,0.3,0.75
0.05,7067,nat,0.1,0.5
0.05,7083,nat,0.15,0.5
0.05,7088,nat,0.0,1.0
0.05,7101,nat,0.1,0.45
0.05,7103,nat,0.05,0.15
0.05,7193,nat,0.9,0.3
0.05,7236,nat,0.55,0.3
0.05,7310,nat,0.75,1.7
0.05,7363,nat,0.35,0.0
0.05,7371,nat,0.4,0.3
0.05,7377,nat,0.2,0.15
0.05,7384,nat,0.7,0.6
0.05,7484,nat,1.2,1.0
0.05,7491,nat,0.05,0.1
0.05,7495,nat,2.8,2.9
0.05,7554,nat,0.0,0.1
0.05,7572,nat,0.75,0.15
0.05,7590,nat,0.05,0.0
0.05,7593,nat,0.1,0.5
0.05,7663,nat,0.0,0.55
0.05,7669,nat,0.15,0.0
0.05,7699,nat,1.7,1.0
0.05,7727,nat,0.0,0.0
0.05,7755,nat,2.85,2.65
0.05,7778,nat,1.65,1.2
0.05,7801,nat,0.1,0.1
0.05,7807,nat,0.7,0.95
0.05,7855,nat,1.35,0.2
0.05,7889,nat,0.3,0.2
0.05,7895,nat,0.15,0.2
0.05,7898,nat,0.9,0.35
0.05,7932,nat,0.1,1.35
0.05,7957,nat,0.1,0.1
0.05,7968,nat,1.0,2.3
0.05,0,density,0.4794605295718882,0.7396683989111604
0.05,32,density,0.26070279633754023,0.9663449641177926
0.05,85,density,1.4699331848552335,2.169141301658005
0.05,119,density,1.028210838901262,0.7260579064587973
0.05,209,density,0.171987131898045,0.635486265775798
0.05,304,density,0.2823558525117545,0.01732244493937151
0.05,442,density,0.19957931205147234,0.5827765404602822
0.05,445,density,2.6243504083147733,3.1315268497896565
0.05,452,density,0.3181143281365998,0.2599604058401387
0.05,485,density,0.5263548626577581,0.7146745854986388
0.05,525,density,0.42031675327889156,0.9590447908933433
0.05,531,density,0.5190546894333086,0.3732986884434547
0.05,553,density,0.39717891610987377,0.8403860430586486
0.05,604,density,0.15317990596387027,0.8376639445681763
0.05,610,density,0.3865379856471171,0.28569660975006195
0.05,611,density,0.3026478594407324,0.43565949022519185
0.05,628,density,0.3822073744122742,0.4055926750804259
0.05,651,density,0.24597871813907463,0.23521405592675076
0.05,672,density,0.14909675822816135,1.1622123236822568
0.05,686,density,0.700321702548874,0.5751051719871318
0.05,691,density,0.1672853254145014,0.25822816134620136
0.05,714,density,0.5762187577332343,0.018807225934174835
0.05,721,density,0.18361791635733737,0.5947785201682753
0.05,745,density,0.0341499628804751,0.26466221232368237
0.05,816,density,0.8322197475872309,0.10900767136847317
0.05,879,density,0.2757980697847066,0.041078940856223795
0.05,886,density,0.38468200940361313,0.48341994555803014
0.05,896,density,0.1914130165800545,0.4872556297946051
0.05,899,density,0.11432813659985144,0.6273199703043801
0.05,928,density,0.6394456817619404,1.1043058648849295
0.05,931,density,0.2065082900272209,0.6858450878495421
0.05,935,density,0.09032417718386543,0.6691413016580053
0.05,947,density,0.5916852264291017,1.4277406582529077
0.05,1042,density,0.48354367730759723,1.1731007176441477
0.05,1045,density,0.2623113090819105,0.7368225686711212
0.05,1063,density,0.48601831229893594,1.2882949764909672
0.05,1075,density,0.15095273447166538,0.7018064835436773
0.05,1091,density,0.5127443702053947,0.13536253402623105
0.05,1094,density,0.6421677802524128,0.8429844097995544
0.05,1146,density,0.06025736203909924,0.6437762929967831
0.05,1151,density,0.9251422915120019,1.603316010888394
0.05,1157,density,0.07560009898539961,0.22952239544667155
0.05,1200,density,0.23558525117545148,0.46807720861172986
0.05,1203,density,0.1451373422420193,0.28792378124226675
0.05,1302,density,0.6121009651076464,0.7827270477604553
0.05,1384,density,0.08487998020291984,0.5955209106656768
0.05,1388,density,0.4219252660232615,0.4412274189557041
0.05,1389,density,0.08970551843603085,0.7618163820836426
0.05,1408,density,0.014971541697599877,1.356347438752784
0.05,1423,density,0.6112348428606782,0.5044543429844097
0.05,1442,density,0.009032417718386587,0.7256867112100964
0.05,1460,density,0.064711705023509,0.08030190546894343
0.05,1482,density,0.0635981192774066,0.5212818609255135
0.05,1560,density,0.6242266765652064,0.46547884187082406
0.05,1578,density,0.5488740410789408,0.6368473150210344
0.05,1587,density,0.3796090076713686,1.4925760950259839
0.05,1602,density,0.35102697352140555,0.0029695619896064254
0.05,1603,density,0.24090571640682987,0.6245978718139072
0.05,1640,density,0.024251422915119985,0.6510764662212324
0.05,1650,density,0.8703291264538474,1.9298440979955451
0.05,1665,density,0.018930957683741704,0.3574610244988865
0.05,1674,density,0.14538480574115303,0.4154912150457808
0.05,1699,density,0.20193021529324398,0.584756248453353
0.05,1716,density,0.33036377134372674,0.13437268002969566
0.05,1728,density,0.1755753526354861,0.2636723583271465
0.05,1740,density,0.3758970551843602,0.08698341994555794
0.05,1762,density,0.8374164810690423,0.1088839396189063
0.05,1768,density,0.16839891116060365,0.37985647117050236
0.05,1774,density,0.5738678544914627,0.3787428854243999
0.05,1803,density,0.20811680277159122,0.40398416233605544
0.05,1836,density,0.004578074733976838,0.7026726057906458
0.05,1855,density,0.06582529076961148,0.5655778272704776
0.05,1896,density,0.44246473645137324,0.6258351893095767
0.05,1947,density,0.3395199208116802,1.2370700321702548
0.05,1987,density,0.2592180153427369,0.6014600346448898
0.05,1993,density,0.18683494184607766,0.26404355357584736
0.05,2008,density,0.22234595397178922,0.8390249938134123
0.05,2031,density,0.605543182380599,0.46820094036129695
0.05,2159,density,1.2915120019797077,0.9943083395199207
0.05,2180,density,0.3217025488740412,0.5196733481811432
0.05,2205,density,0.5730017322444939,0.6409304627567433
0.05,2214,density,0.4170997277901512,1.107027963375402
0.05,2235,density,1.6469933184855232,1.9198218262806233
0.05,2282,density,0.2936154417223458,0.22878000494926998
0.05,2302,density,0.20576589952981914,0.1250927988121753
0.05,2318,density,0.20353872803761439,0.08537490720118797
0.05,2320,density,0.2654046028210839,0.923038851769364
0.05,2331,density,0.33197228408809676,0.09539717891610974
0.05,2344,density,0.18200940361296686,0.6175451620885918
0.05,2357,density,0.02165305617421428,0.4809453105666913
0.05,2358,density,0.16592427616926506,0.5538233110616183
0.05,2386,density,0.08896312793862897,0.24721603563474398
0.05,2405,density,0.894456817619401,0.06966097500618644
0.05,2448,density,0.35251175451620864,0.04120267260579066
0.05,2483,density,0.1723583271467457,0.11284335560504813
0.05,2492,density,0.1928977975748576,0.11185350160851272
0.05,2536,density,0.25723830734966596,0.9686958673595643
0.05,2603,density,0.12397921306607282,0.1855976243504083
0.05,2607,density,0.5394704281118535,0.5399653551101212
0.05,2664,density,0.3990348923533779,0.8438505320465229
0.05,2705,density,0.3220737441227418,0.03130413264043555
0.05,2794,density,0.002103439742637894,0.5781984657263051
0.05,2808,density,0.3656273199703039,0.0551843603068547
0.05,2818,density,0.6122246968572136,1.3353130413264043
0.05,2822,density,0.5987379361544174,1.346572630536996
0.05,2826,density,0.017817371937638993,0.14699331848552344
0.05,2842,density,0.11259589210591439,0.5914377629299677
0.05,2853,density,0.07473397673843109,0.4148725562979461
0.05,2915,density,0.28619153674832964,0.014476614699331956
0.05,2919,density,0.1320217767879238,0.4863895075476366
0.05,2934,density,0.6304132640435536,0.10876020786933921
0.05,2937,density,0.9519920811680275,1.183741648106904
0.05,2951,density,0.45570403365503603,0.24375154664686965
0.05,2962,density,0.31180400890868587,0.3495421925266023
0.05,2970,density,0.15911902994308333,0.7219747587230884
0.05,2985,density,0.2901509527344717,0.5311804008908687
0.05,3014,density,0.7843355605048253,0.07646622123236826
0.05,3019,density,0.08982925018559772,0.2797574857708489
0.05,3059,density,0.08092056421677801,0.18943330858698326
0.05,3092,density,0.2585993565949024,0.034892353377876544
0.05,3102,density,0.8935906953724326,1.3822073744122743
0.05,3139,density,0.6899282355852512,0.01064093046275656
0.05,3163,density,0.34335560504825563,0.1933927245731253
0.05,3180,density,1.4458054936896805,2.8710715169512495
0.05,3230,density,0.18064835436773086,0.426874536005939
0.05,3259,density,0.8174956693887648,1.2856966097500615
0.05,3262,density,0.5539470428111855,0.4620143528829496
0.05,3265,density,1.0470180648354364,1.199950507300173
0.05,3270,density,0.43454590447908936,0.5841375897055184
0.05,3286,density,0.0704033655035881,0.7271714922048996
0.05,3301,density,0.33036377134372674,0.2639198218262805
0.05,3328,density,0.3151447661469934,0.2676317743132888
0.05,3393,density,0.1409304627567434,0.5154664686958674
0.05,3399,density,0.06854738926008394,0.2245731254639942
0.05,3427,density,0.11259589210591439,1.0012373174956692
0.05,3462,density,0.3011630784459291,0.44258846820094033
0.05,3463,density,0.19673348181143277,0.8015342736946297
0.05,3469,density,0.6468695867359564,0.3953229398663697
0.05,3470,density,0.0940361296708735,0.2764167285325414
0.05,3473,density,2.5861172976985896,2.6520663202177683
0.05,3482,density,0.20205394704281116,1.028334570650829
0.05,3483,density,0.483667409057164,0.9318238059886166
0.05,3488,density,0.15194258846820088,0.7202425142291511
0.05,3492,density,0.4527344716654294,0.7331106161841131
0.05,3523,density,0.20316753278891356,0.35993565949022527
0.05,3538,density,0.8648849294729027,1.2699826775550604
0.05,3553,density,1.7969561989606535,2.801163078445929
0.05,3565,density,0.024375154664686854,0.22321207621875774
0.05,3588,density,0.26775550606285564,0.3011630784459291
0.05,3595,density,0.47723335807968353,0.4537243256619646
0.05,3608,density,0.5856223707003215,0.17062608265280885
0.05,3615,density,0.4183370452858202,0.24721603563474398
0.05,3628,density,0.14810690423162615,1.0984904726552833
0.05,3636,density,0.23397673843108138,0.4873793615441722
0.05,3659,density,0.4586735956446422,0.8699579312051472
0.05,3660,density,0.7103439742637961,0.21900519673348173
0.05,3684,density,0.22160356347438756,0.3205889631279387
0.05,3690,density,0.7838406335065579,0.3338282603316011
0.05,3700,density,0.3460777035387281,0.6218757733234347
0.05,3705,density,0.014971541697599438,1.066567681267013
0.05,3746,density,0.26379609007671384,0.6320217767879238
0.05,3750,density,0.7044048502845829,0.19561989606533028
0.05,3754,density,0.012868101954961544,0.5037119524870081
0.05,3819,density,0.36983419945558016,1.1153179905963868
0.05,3820,density,0.10430586488492946,0.14476614699331847
0.05,3828,density,0.2942341004701806,1.3848057411531798
0.05,3891,density,0.09799554565701578,0.583147735708983
0.05,3894,density,0.20378619153674835,0.046399406087602076
0.05,3913,density,0.02251917842118292,0.16184112843355603
0.05,3942,density,0.05617421430339032,0.37181390744865117
0.05,4013,density,0.047018064835436864,0.9638703291264537
0.05,4022,density,0.44555803019054674,0.7277901509527344
0.05,4023,density,0.25822816134620136,0.04429596634496418
0.05,4026,density,0.8544914625092792,1.0064340509774803
0.05,4055,density,0.24053452115812915,0.9050977480821579
0.05,4056,density,0.1224944320712695,0.1341252165305617
0.05,4144,density,0.18485523385300665,0.33098243009156153
0.05,4175,density,0.030066815144766185,0.3291264538480574
0.05,4244,density,0.3865379856471171,0.3317248205889632
0.05,4249,density,0.09997525365008669,0.4339272457312546
0.05,4256,density,0.5445434298440979,0.3711952487008166
0.05,4264,density,1.005073001732244,1.0066815144766146
0.05,4312,density,0.16481069042316254,0.8812175204157385
0.05,4395,density,0.3843108141549122,0.3848057411531798
0.05,4406,density,2.314154912150458,2.8127938629052216
0.05,4433,density,0.02821083890126181,1.1164315763424892
0.05,4466,density,0.41017074981440227,0.036500866122246955
0.05,4481,density,0.31935164563226925,0.552585993565949
0.05,4505,density,0.08277654046028216,0.11482306359811936
0.05,4507,density,0.544295966344964,0.8595644642415242
0.05,4512,density,0.3674832962138085,0.25167037861915376
0.05,4513,density,0.4024993813412521,0.7765404602821083
0.05,4523,density,0.3631526849789654,0.3229398663697104
0.05,4530,density,0.08191041821331341,0.8293739173471911
0.05,4533,density,0.3074733976738429,0.7542687453600593
0.05,4564,density,0.06112348428606777,0.40435535758475627
0.05,4585,density,0.07362039099232849,0.708116802771591
0.05,4593,density,0.3846820094036127,0.014847809948032788
0.05,4613,density,0.3419945558030191,0.4114080673100716
0.05,4658,density,0.6343726800296955,0.8309824300915615
0.05,4683,density,0.008413758970551905,0.5337787676317742
0.05,4717,density,0.013115565454095503,0.5082900272209849
0.05,4723,density,0.5882207374412273,0.30833951992081154
0.05,4819,density,0.27406582529076956,0.7524127691165552
0.05,4825,density,0.5207869339272456,0.49665924276169254
0.05,4891,density,0.5480079188319723,0.9324424647364514
0.05,4919,density,0.8374164810690423,0.5174461766889383
0.05,4933,density,1.0127443702053949,1.4449393714427121
0.05,4950,density,1.3047512991833703,0.46560257362039115
0.05,4968,density,0.3698341994555804,0.09044790893343252
0.05,5009,density,0.400643405097748,0.1342489482801288
0.05,5018,density,1.3818361791635734,1.2681267013115562
0.05,5066,density,0.09391239792130675,0.4821826280623607
0.05,5098,density,0.5264785944073247,1.3589458054936896
0.05,5100,density,0.4637465973768868,0.3186092551348675
0.05,5107,density,0.0008661222469685317,0.15256124721603548
0.05,5119,density,0.07386785449146223,0.6202672605790648
0.05,5122,density,0.2422667656520663,0.679782232120762
0.05,5124,density,0.07584756248453346,0.1739668398911159
0.05,5127,density,0.31427864390002463,0.42959663449641167
0.05,5202,density,1.1964860183122985,1.2654046028210835
0.05,5246,density,0.07844592922543928,0.41808958178668637
0.05,5267,density,0.11073991586241035,0.7472160356347439
0.05,5272,density,0.40336550358822065,0.8238059886166791
0.05,5276,density,0.5728780004949269,0.7958426132145506
0.05,5312,density,0.7968324672110864,0.5576589952981935
0.05,5322,density,0.9516208859193269,0.35102697352140577
0.05,5393,density,0.23991586241029447,0.18831972284088078
0.05,5404,density,0.03414996288047521,0.41177926255877256
0.05,5417,density,0.536748329621381,0.09168522642910165
0.05,5419,density,0.4651076466221232,0.9496411779262559
0.05,5441,density,0.621628309824301,1.2547636723583269
0.05,5442,density,0.44766146993318473,0.07448651323929724
0.05,5480,density,0.119401138332096,0.1404355357584756
0.05,5484,density,0.2623113090819105,0.017693640188072342
0.05,5515,density,0.11024498886414254,0.3663697104677058
0.05,5523,density,1.3212076218757733,0.1172976985894581
0.05,5561,density,0.3027715911902993,0.13573372927493188
0.05,5576,density,0.35585251175451615,0.8704528582034149
0.05,5589,density,0.002598366740905375,1.3027715911902993
0.05,5616,density,0.37614451868349424,0.3328384063350655
0.05,5623,density,0.11284335560504824,1.0833951992081168
0.05,5631,density,0.014229151200197776,0.5911902994308338
0.05,5653,density,0.16654293491709962,0.6542934917099726
0.05,5675,density,0.024870081662954777,0.3226924028705766
0.05,5679,density,0.2673843108141548,0.2534026231130906
0.05,5681,density,0.32937391734719135,0.7667656520663201
0.05,5776,density,0.6425389755011137,0.8340757238307348
0.05,5828,density,0.042439990101460025,0.3348181143281365
0.05,5871,density,0.5846325167037859,0.9283593170007424
0.05,5882,density,0.33877753031427876,1.0371195248700817
0.05,5910,density,0.05159613956941348,0.24189557040336548
0.05,5921,density,0.5345211581291759,0.6244741400643405
0.05,5924,density,0.2619401138332097,0.43504083147735706
0.05,5929,density,0.10108883939618907,0.4393714427121997
0.05,5935,density,0.24375154664686988,1.16208859193269
0.05,5953,density,0.12063845582776535,0.443207126948775
0.05,5959,density,0.6238554813165057,0.3495421925266022
0.05,5967,density,0.017446176688938383,0.25018559762435044
0.05,6039,density,0.15652066320217772,0.45743627814897286
0.05,6049,density,1.2473397673843107,1.4472902746844838
0.05,6062,density,0.1670378619153672,0.8395199208116803
0.05,6099,density,0.03625340262311311,0.23360554318238044
0.05,6129,density,0.35523385300668153,0.4091808958178669
0.05,6146,density,0.26552833457065067,1.2166542934917097
0.05,6209,density,0.8596881959910913,1.2166542934917102
0.05,6225,density,0.15998515219005208,0.22581044295966357
0.05,6255,density,0.23570898292501846,0.3179905963870329
0.05,6332,density,0.15862410294481563,1.0723830734966588
0.05,6344,density,0.36562731997030434,0.1966097500618659
0.05,6352,density,0.27517941103687205,0.7374412274189556
0.05,6387,density,0.5789408562237072,0.6066567681267013
0.05,6408,density,0.37404107894085625,0.9318238059886166
0.05,6411,density,0.9867607027963374,0.787428854243999
0.05,6430,density,0.30314278643900033,1.046770601336303
0.05,6455,density,0.7251917842118287,0.8700816629547141
0.05,6465,density,0.45496164315763415,0.6518188567186338
0.05,6477,density,0.26552833457065067,0.3767631774313288
0.05,6479,density,0.2782727047760456,0.14018807225934185
0.05,6507,density,1.1279386290522149,1.1451373422420195
0.05,6508,density,0.028210838901262032,0.06656768126701314
0.05,6525,density,0.3620390992328629,0.6426627072506803
0.05,6540,density,0.08710715169512481,0.3115565454095519
0.05,6573,density,0.12496906706260823,0.1221232368225689
0.05,6594,density,0.6400643405097748,0.9414748824548378
0.05,6603,density,0.08710715169512503,0.35473892600841384
0.05,6613,density,0.2469685721356099,0.5564216778025242
0.05,6627,density,0.4273694630042069,0.5957683741648108
0.05,6651,density,0.43120514724078196,0.6854738926008414
0.05,6653,density,0.47389260084137586,0.13944568176193997
0.05,6663,density,2.1292996782974507,2.758599356594902
0.05,6670,density,0.6190299430833953,0.49492699826775555
