masking_level,row,coordinate,loss_model,loss_ind
0.05,58,nat,0.0,0.15
0.05,226,nat,0.1,0.55
0.05,227,nat,0.3,0.3
0.05,250,nat,0.2,0.1
0.05,264,nat,0.0,0.9
0.05,287,nat,0.05,0.0
0.05,288,nat,1.45,0.9
0.05,291,nat,0.1,1.2
0.05,354,nat,0.8,0.6
0.05,360,nat,0.55,0.15
0.05,387,nat,0.15,0.15
0.05,410,nat,0.5,0.1
0.05,422,nat,3.85,4.0
0.05,424,nat,0.55,0.25
0.05,441,nat,0.7,0.5
0.05,443,nat,1.15,2.5
0.05,449,nat,1.0,2.2
0.05,466,nat,0.05,0.5
0.05,476,nat,0.45,0.45
0.05,479,nat,1.1,1.95
0.05,493,nat,0.05,1.5
0.05,502,nat,0.0,0.3
0.05,503,nat,0.8,0.45
0.05,506,nat,0.3,0.55
0.05,528,nat,0.3,0.25
0.05,551,nat,0.05,0.15
0.05,552,nat,0.25,0.55
0.05,567,nat,0.55,0.25
0.05,580,nat,0.05,0.15
0.05,601,nat,0.8,0.5
0.05,626,nat,0.45,0.45
0.05,633,nat,0.05,0.05
0.05,662,nat,0.0,0.0
0.05,670,nat,0.3,0.85
0.05,671,nat,0.1,0.45
0.05,673,nat,0.2,1.15
0.05,676,nat,0.0,0.3
0.05,696,nat,0.25,0.3
0.05,730,nat,0.1,0.15
0.05,734,nat,0.0,0.1
0.05,736,nat,1.0,1.0
0.05,753,nat,0.55,0.5
0.05,761,nat,2.5,3.7
0.05,769,nat,0.1,0.7
0.05,778,nat,1.1,1.5
0.05,866,nat,0.25,0.75
0.05,868,nat,0.05,0.95
0.05,914,nat,0.2,1.6
0.05,921,nat,0.65,0.1
0.05,949,nat,1.4,1.75
0.05,960,nat,0.8,0.7
0.05,970,nat,0.0,0.9
0.05,1068,nat,0.8,0.2
0.05,1073,nat,0.2,0.25
0.05,1101,nat,1.95,2.2
0.05,1141,nat,0.9,0.05
0.05,1150,nat,0.25,0.7
0.05,1158,nat,1.65,0.1
0.05,1167,nat,0.2,1.3
0.05,1218,nat,0.4,0.6
0.05,1241,nat,0.1,0.2
0.05,1258,nat,0.2,0.1
0.05,1277,nat,0.0,0.0
0.05,1336,nat,1.45,2.0
0.05,1391,nat,0.05,0.2
0.05,1419,nat,0.05,0.45
0.05,1468,nat,0.1,0.7
0.05,1493,nat,0.05,0.15
0.05,1511,nat,0.7,0.5
0.05,1516,nat,0.15,0.65
0.05,1549,nat,0.8,0.35
0.05,1554,nat,0.0,0.7
0.05,1570,nat,0.2,0.45
0.05,1610,nat,0.0,0.35
0.05,1654,nat,0.05,1.1
0.05,1679,nat,1.2,1.1
0.05,1685,nat,0.15,0.7
0.05,1694,nat,0.6,0.15
0.05,1695,nat,0.1,0.05
0.05,1724,nat,0.4,0.55
0.05,1736,nat,0.1,0.0
0.05,1752,nat,0.8,0.15
0.05,1770,nat,0.25,0.05
0.05,1785,nat,0.3,1.4
0.05,1790,nat,0.75,0.7
0.05,1822,nat,1.3,0.0
0.05,1859,nat,0.3,0.7
0.05,1874,nat,0.1,0.1
0.05,1931,nat,0.6,0.2
0.05,1949,nat,0.3,0.1
0.05,1994,nat,0.2,0.5
0.05,1997,nat,0.75,1.9
0.05,2010,nat,0.8,1.05
0.05,2049,nat,0.1,0.05
0.05,2097,nat,0.35,0.7
0.05,2098,nat,0.45,0.1
0.05,2113,nat,0.0,0.2
0.05,2116,nat,0.8,2.0
0.05,2153,nat,0.9,2.1
0.05,2182,nat,0.3,0.75
0.05,2191,nat,0.15,0.25
0.05,2222,nat,1.15,0.1
0.05,2257,nat,0.05,0.3
0.05,2354,nat,0.25,0.2
0.05,2374,nat,0.7,0.8
0.05,2401,nat,1.0,1.2
0.05,2412,nat,0.05,0.4
0.05,2437,nat,0.2,1.65
0.05,2462,nat,0.15,0.1
0.05,2465,nat,0.1,0.0
0.05,2482,nat,0.2,0.7
0.05,2494,nat,0.2,0.2
0.05,2509,nat,0.0,0.65
0.05,2514,nat,0.0,0.0
0.05,2518,nat,1.4,2.4
0.05,2522,nat,0.4,0.4
0.05,2561,nat,0.6,0.35
0.05,2563,nat,1.5,2.1
0.05,2624,nat,0.1,0.1
0.05,2636,nat,0.3,0.55
0.05,2644,nat,0.2,0.1
0.05,2687,nat,1.0,0.05
0.05,2708,nat,0.0,0.15
0.05,2789,nat,0.25,0.4
0.05,2790,nat,2.2,2.75
0.05,2798,nat,0.05,1.0
0.05,2816,nat,0.8,0.5
0.05,2881,nat,0.0,0.6
0.05,2914,nat,0.15,0.95
0.05,2927,nat,1.5,1.85
0.05,2993,nat,0.55,0.0
0.05,3002,nat,0.25,1.15
0.05,3010,nat,0.05,0.0
0.05,3012,nat,0.2,0.0
0.05,3055,nat,0.2,0.7
0.05,3114,nat,0.25,0.1
0.05,3128,nat,0.8,1.2
0.05,3142,nat,0.45,0.45
0.05,3189,nat,0.35,0.7
0.05,3226,nat,0.9,0.4
0.05,3245,nat,0.45,1.1
0.05,3250,nat,0.2,1.1
0.05,3299,nat,0.5,1.7
0.05,3306,nat,0.3,0.0
0.05,3319,nat,0.55,0.1
0.05,3377,nat,1.85,2.0
0.05,3382,nat,0.1,0.3
0.05,3390,nat,0.2,0.75
0.05,3406,nat,0.1,0.1
0.05,3420,nat,2.5,1.95
0.05,3429,nat,0.1,0.0
0.05,3431,nat,0.05,0.15
0.05,3461,nat,0.3,0.2
0.05,3464,nat,0.0,0.05
0.05,3590,nat,0.0,0.0
0.05,3611,nat,0.25,0.8
0.05,3616,nat,0.6,0.05
0.05,3638,nat,0.7,0.0
0.05,3643,nat,0.0,0.9
0.05,3688,nat,0.6,1.6
0.05,3697,nat,1.0,0.35
0.05,3709,nat,0.1,0.05
0.05,3790,nat,0.6,1.05
0.05,3815,nat,0.6,0.4
